[SRM] Código da operação,variavel_target,Total do Contrato (Bruto),Nota da Clínica,Capacidade Idade,Capital Endividamento,Serasa Score,Carater Acoes_Judiciais_Cheques_Sustados_e_PIE,Carater Percentual_de_divida_vencida_total,Carater Quantidade_de_restricoes_comerciais,Serasa Quantidade de protestos,VTM Valor total,Taxa de Juros,Total do Contrato (Bruto)/renda utilizada
1296088.0,0,15872.0,2.0,68,34,745.0,0.0,0,0.0,0.0,12000.0,4.0,3.004922377887164
1359623.0,1,17851.0,2.0,30,44,608.0,0.0,19,0.0,0.0,10000.0,5.0,3.5397580805076343
1536846.0,0,10006.0,0.0,53,0,692.0,2.0,0,0.0,0.0,6027.0,4.0,4.437250554323725
1275319.0,0,5345.0,0.0,47,36,550.0,0.0,0,0.0,0.0,12000.0,3.0,1.1812154696132597
1333062.0,0,8555.0,0.0,39,13,560.0,0.0,0,0.0,0.0,6503.0,3.0,4.988338192419825
1197423.0,0,2262.0,1.0,60,0,638.0,0.0,0,0.0,0.0,6295.0,4.0,0.7217613273771538
1234138.0,0,3279.0,2.0,37,48,568.0,0.0,0,0.0,0.0,2137.0,3.0,2.045539613225203
1362961.0,0,2990.0,0.0,63,10,940.0,0.0,0,0.0,0.0,5454.0,4.0,2.0080591000671593
1258143.0,0,1981.0,0.0,51,24,495.0,0.0,0,1.0,1.0,1321.0,3.0,1.238125
1485347.0,0,2640.0,1.0,44,53,620.0,5.0,0,0.0,0.0,4189.0,4.0,1.65
1177525.0,0,5759.0,0.0,60,49,550.0,0.0,0,1.0,1.0,10000.0,3.0,0.7906370126304229
1160721.0,1,6873.0,2.0,37,8,593.0,0.0,0,0.0,0.0,4252.0,4.0,2.8249075215782984
1129326.0,0,3678.0,0.0,55,0,575.0,0.0,0,0.0,0.0,2214.0,3.0,2.6768558951965065
1264196.0,1,9818.0,0.0,64,31,450.0,0.0,4,2.0,1.0,6620.0,4.0,2.3221381267738885
1108159.0,0,2837.0,2.0,56,26,457.0,0.0,0,0.0,0.0,3431.0,4.0,1.0669424595712673
1133191.0,0,4335.0,0.0,48,0,697.0,0.0,0,0.0,0.0,4142.0,3.0,2.0841346153846154
1286039.0,1,4077.0,0.0,26,22,550.0,0.0,0,1.0,1.0,2880.0,4.0,2.3982352941176472
1345270.0,0,3519.0,2.0,20,0,455.0,0.0,0,0.0,0.0,2107.0,8.0,2.513571428571429
1149510.0,0,1384.0,2.0,21,50,580.0,0.0,0,0.0,0.0,1454.0,4.0,0.9226666666666666
1347931.0,0,2858.0,0.0,59,21,435.0,0.0,0,0.0,0.0,3000.0,6.0,1.3336444237050864
1421844.0,0,9912.0,0.0,68,25,933.0,0.0,0,0.0,0.0,6655.0,4.0,5.506666666666667
1221718.0,0,2528.0,0.0,51,9,550.0,0.0,0,1.0,0.0,1653.0,3.0,1.3118837571354436
1192816.0,0,4285.0,2.0,36,61,908.0,0.0,0,0.0,0.0,4979.0,4.0,1.5184266477675408
1226861.0,1,2664.0,2.0,30,26,674.0,0.0,0,0.0,0.0,1629.0,4.0,1.6145454545454545
1130132.0,0,3939.0,2.0,34,0,768.0,0.0,0,0.0,0.0,2599.0,3.0,2.073157894736842
1320817.0,0,7077.0,0.0,69,79,888.0,0.0,0,0.0,0.0,-15115.0,3.0,0.4369597431464559
1519598.0,1,6940.0,0.0,53,51,549.0,4.0,0,0.0,0.0,4329.0,4.0,4.206060606060606
